dim_product,m_price,m_competing_price,dim_region,ds
Product1,88,88,US_NY,2022-01-01
Product1,88,88,US_NY,2022-01-02
Product1,88,88,US_NY,2022-01-03
Product1,88,88,US_NY,2022-01-04
Product1,88,88,US_NY,2022-01-05
Product1,88,88,US_NY,2022-01-06
Product1,88,88,US_NY,2022-01-07
Product1,88,88,US_NY,2022-01-08
Product1,88,88,US_NY,2022-01-09
Product1,88,88,US_NY,2022-01-10
Product1,88,88,US_NY,2022-01-11
Product1,88,88,US_NY,2022-01-12
Product1,88,88,US_NY,2022-01-13
Product1,88,88,US_NY,2022-01-14
Product1,88,88,US_NY,2022-01-15
Product1,88,88,US_NY,2022-01-16
Product1,88,88,US_NY,2022-01-17
Product1,88,88,US_NY,2022-01-18
Product1,88,88,US_NY,2022-01-19
Product1,88,88,US_NY,2022-01-20
Product1,88,88,US_NY,2022-01-21
Product1,88,88,US_NY,2022-01-22
Product1,88,88,US_NY,2022-01-23
Product1,88,88,US_NY,2022-01-24
Product1,88,88,US_NY,2022-01-25
Product1,88,88,US_NY,2022-01-26
Product1,88,88,US_NY,2022-01-27
Product1,88,88,US_NY,2022-01-28
Product1,88,88,US_NY,2022-01-29
Product1,88,88,US_NY,2022-01-30
Product1,88,88,US_NY,2022-01-31
Product1,88,88,US_NY,2022-02-01
Product1,88,88,US_NY,2022-02-02
Product1,88,88,US_NY,2022-02-03
Product1,88,88,US_NY,2022-02-04
Product1,88,88,US_NY,2022-02-05
Product1,88,88,US_NY,2022-02-06
Product1,88,88,US_NY,2022-02-07
Product1,88,88,US_NY,2022-02-08
Product1,88,88,US_NY,2022-02-09
Product1,88,88,US_NY,2022-02-10
Product1,88,88,US_NY,2022-02-11
Product1,88,88,US_NY,2022-02-12
Product1,88,88,US_NY,2022-02-13
Product1,88,88,US_NY,2022-02-14
Product1,88,88,US_NY,2022-02-15
Product1,88,88,US_NY,2022-02-16
Product1,88,88,US_NY,2022-02-17
Product1,88,88,US_NY,2022-02-18
Product1,88,88,US_NY,2022-02-19
Product1,88,88,US_NY,2022-02-20
Product1,88,88,US_NY,2022-02-21
Product1,88,88,US_NY,2022-02-22
Product1,88,88,US_NY,2022-02-23
Product1,88,88,US_NY,2022-02-24
Product1,88,88,US_NY,2022-02-25
Product1,88,88,US_NY,2022-02-26
Product1,88,88,US_NY,2022-02-27
Product1,88,88,US_NY,2022-02-28
Product1,88,88,US_NY,2022-03-01
Product1,88,88,US_NY,2022-03-02
Product1,88,88,US_NY,2022-03-03
Product1,88,88,US_NY,2022-03-04
Product1,88,88,US_NY,2022-03-05
Product1,88,88,US_NY,2022-03-06
Product1,88,88,US_NY,2022-03-07
Product1,88,88,US_NY,2022-03-08
Product1,88,88,US_NY,2022-03-09
Product1,88,88,US_NY,2022-03-10
Product1,88,88,US_NY,2022-03-11
Product1,88,88,US_NY,2022-03-12
Product1,88,88,US_NY,2022-03-13
Product1,88,88,US_NY,2022-03-14
Product1,88,88,US_NY,2022-03-15
Product1,88,88,US_NY,2022-03-16
Product1,88,88,US_NY,2022-03-17
Product1,88,88,US_NY,2022-03-18
Product1,88,88,US_NY,2022-03-19
Product1,88,88,US_NY,2022-03-20
Product1,88,88,US_NY,2022-03-21
Product1,88,88,US_NY,2022-03-22
Product1,88,88,US_NY,2022-03-23
Product1,88,88,US_NY,2022-03-24
Product1,88,88,US_NY,2022-03-25
Product1,88,88,US_NY,2022-03-26
Product1,88,88,US_NY,2022-03-27
Product1,88,88,US_NY,2022-03-28
Product1,88,88,US_NY,2022-03-29
Product1,88,88,US_NY,2022-03-30
Product1,88,88,US_NY,2022-03-31
Product1,88,88,US_NY,2022-04-01
Product1,88,88,US_NY,2022-04-02
Product1,88,88,US_NY,2022-04-03
Product1,88,88,US_NY,2022-04-04
Product1,88,88,US_NY,2022-04-05
Product1,88,88,US_NY,2022-04-06
Product1,88,88,US_NY,2022-04-07
Product1,88,88,US_NY,2022-04-08
Product1,88,88,US_NY,2022-04-09
Product1,88,88,US_NY,2022-04-10
Product1,88,88,US_NY,2022-04-11
Product1,88,88,US_NY,2022-04-12
Product1,88,88,US_NY,2022-04-13
Product1,88,88,US_NY,2022-04-14
Product1,88,88,US_NY,2022-04-15
Product1,88,88,US_NY,2022-04-16
Product1,88,88,US_NY,2022-04-17
Product1,88,88,US_NY,2022-04-18
Product1,88,88,US_NY,2022-04-19
Product1,88,88,US_NY,2022-04-20
Product1,88,88,US_NY,2022-04-21
Product1,88,88,US_NY,2022-04-22
Product1,88,88,US_NY,2022-04-23
Product1,88,88,US_NY,2022-04-24
Product1,88,88,US_NY,2022-04-25
Product1,88,88,US_NY,2022-04-26
Product1,88,88,US_NY,2022-04-27
