id_sales,id_customer,sales_rep,dim_product,dim_region,m_amount,ds
1,6873,Paul,Product1,US_OR,88,2022-01-01
2,473,Nancy,Product1,US_OR,88,2022-01-01
3,7637,Sam,Product1,US_WA,88,2022-01-01
4,2477,Paul,Product1,US_NY,88,2022-01-01
5,3517,Paul,Product1,US_NY,88,2022-01-01
6,9591,Sam,Product1,US_CA,88,2022-01-01
7,9551,Sam,Product1,US_OR,88,2022-01-01
8,5807,Nancy,Product1,US_OR,88,2022-01-02
9,4276,Sam,Product1,US_WA,88,2022-01-02
10,9401,Paul,Product1,US_NY,88,2022-01-02
11,9044,Sam,Product1,US_NY,88,2022-01-02
12,6411,Nancy,Product1,US_WA,88,2022-01-02
13,1500,Paul,Product1,US_WA,88,2022-01-02
14,428,Paul,Product1,US_NY,88,2022-01-03
15,3462,Nancy,Product1,US_CA,88,2022-01-04
16,7550,Nancy,Product1,US_NY,88,2022-01-04
17,2147,Paul,Product1,US_WA,88,2022-01-04
18,8092,Raj,Product1,US_NY,88,2022-01-05
19,2430,Paul,Product1,US_CA,88,2022-01-05
20,7220,David,Product1,US_OR,88,2022-01-05
21,3316,Sam,Product1,US_NY,88,2022-01-05
22,2880,Nancy,Product1,US_CA,88,2022-01-05
23,591,Sam,Product1,US_CA,88,2022-01-05
24,8605,Paul,Product1,US_WA,88,2022-01-05
25,9281,David,Product1,US_CA,88,2022-01-05
26,1640,Raj,Product1,US_WA,88,2022-01-05
27,2580,David,Product1,US_CA,88,2022-01-05
28,1546,Sam,Product1,US_OR,88,2022-01-05
29,8781,Raj,Product1,US_OR,88,2022-01-05
30,5675,Raj,Product1,US_OR,88,2022-01-05
31,8745,Raj,Product1,US_NY,88,2022-01-05
32,9944,Nancy,Product1,US_CA,88,2022-01-05
33,6266,Paul,Product1,US_OR,88,2022-01-05
34,1887,David,Product1,US_NY,88,2022-01-05
35,892,Nancy,Product1,US_OR,88,2022-01-05
36,1545,David,Product1,US_WA,88,2022-01-05
37,4014,Paul,Product1,US_CA,88,2022-01-05
38,3705,Nancy,Product1,US_CA,88,2022-01-05
39,6532,Raj,Product1,US_OR,88,2022-01-05
